stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
3015174920720,1,2,0,0
3015191594468,1,2,0,0
3015212235508,1,2,0,0
3015230389864,1,2,0,0
3015250363752,1,2,0,0
3015270409236,1,2,0,0
3015290401716,1,2,0,0
3015311453736,1,2,0,0
3015331505388,1,2,0,0
3015350440444,1,2,0,0
3015370573128,1,2,0,0
3015390545864,1,2,0,0
3015412285256,1,2,0,0
3015430286940,1,2,0,0
3015450464824,1,2,0,0
3015470572616,1,2,0,0
3015491259564,1,2,0,0
3015511008852,1,2,0,0
3015530372584,1,2,0,0
3015550475140,1,2,0,0
3015570469044,1,2,0,0
3015590561992,1,2,0,0
3015614575444,1,2,0,0
3015630406476,1,2,0,0
3015650445520,1,2,0,0
3015670545864,1,2,0,0
3015690724304,1,2,0,0
3015715633864,1,2,0,0
3015730484728,1,2,0,0
3015750522284,1,2,0,0
3015770503884,1,2,0,0
3015790449096,1,2,0,0
3015812710424,1,2,0,0
3015830428428,1,2,0,0
3015850889072,1,2,0,0
3015871603996,1,2,0,0
3015891450392,1,2,0,0
3015914066452,1,2,0,0
3015930382676,1,2,0,0
3015950458036,1,2,0,0
3015970662328,1,2,0,0
3015990572068,1,2,0,0
3016017443476,1,2,0,0
3016031366792,1,2,0,0
3016050355736,1,2,0,0
3016070494280,1,2,0,0
3016091309012,1,2,0,0
3016117247920,1,2,0,0
3016130374260,1,2,0,0
3016150594612,1,2,0,0
3016170429672,1,2,0,0
3016190737316,1,2,0,0
3016214824552,1,2,0,0
3016230348984,1,2,0,0
3016250414760,1,2,0,0
3016270533140,1,2,0,0
3016290800884,1,2,0,0
3016310845960,1,2,0,0
3016330355412,1,2,0,0
3016350439408,1,2,0,0
3016370877024,1,2,0,0
3016391531748,1,2,0,0
3016410337796,1,2,0,0
3016430493128,1,2,0,0
3016450712452,1,2,0,0
3016470451136,1,2,0,0
3016490729560,1,2,0,0
3016510431960,1,2,0,0
3016530387592,1,2,0,0
3016550487472,1,2,0,0
3016571420600,1,2,0,0
3016591549756,1,2,0,0
3016610386588,1,2,0,0
3016630388524,1,2,0,0
3016650444456,1,2,0,0
3016671362728,1,2,0,0
3016691581072,1,2,0,0
3016710342824,1,2,0,0
3016730380860,1,2,0,0
3016750542424,1,2,0,0
3016770558180,1,2,0,0
3016790588152,1,2,0,0
3016810375936,1,2,0,0
