stamp,aeb_switch,aeb_state,aeb_direction,aeb_fcn_state
2450671440752,1,2,0,0
2450699441696,1,2,0,0
2450710429820,1,2,0,0
2450731303240,1,2,0,0
2450750436988,1,2,0,0
2450771080296,1,2,0,0
2450790439672,1,2,0,0
2450810384116,1,2,0,0
2450830511172,1,2,0,0
2450850740840,1,2,0,0
2450870871512,1,2,0,0
2450891436716,1,2,0,0
2450910468472,1,2,0,0
2450930377412,1,2,0,0
2450950449140,1,2,0,0
2450970480968,1,2,0,0
2450990552232,1,2,0,0
2451011346396,1,2,0,0
2451030322708,1,2,0,0
2451050591352,1,2,0,0
2451070531512,1,2,0,0
2451090427720,1,2,0,0
2451110454180,1,2,0,0
2451131399704,1,2,0,0
2451150526524,1,2,0,0
2451170569724,1,2,0,0
2451190454576,1,2,0,0
2451210273768,1,2,0,0
2451230388296,1,2,0,0
2451250374804,1,2,0,0
2451271149824,1,2,0,0
2451290434772,1,2,0,0
2451310346424,1,2,0,0
2451331345496,1,2,0,0
2451350448096,1,2,0,0
2451370736408,1,2,0,0
2451390480744,1,2,0,0
2451410329220,1,2,0,0
2451430560528,1,2,0,0
2451450380376,1,2,0,0
2451470524920,1,2,0,0
2451490509368,1,2,0,0
2451511381736,1,2,0,0
2451530360364,1,2,0,0
2451550382372,1,2,0,0
2451571316104,1,2,0,0
2451590562096,1,2,0,0
2451610354668,1,2,0,0
2451630402680,1,2,0,0
2451650372788,1,2,0,0
2451670449952,1,2,0,0
2451690716008,1,2,0,0
2451710560308,1,2,0,0
2451730359020,1,2,0,0
2451750647952,1,2,0,0
2451770618568,1,2,0,0
2451791629464,1,2,0,0
2451810374092,1,2,0,0
2451830332128,1,2,0,0
2451850419292,1,2,0,0
2451870582992,1,2,0,0
2451890549288,1,2,0,0
2451910611336,1,2,0,0
2451930389024,1,2,0,0
2451950429728,1,2,0,0
2451972093648,1,2,0,0
2451991011132,1,2,0,0
2452011386692,1,2,0,0
2452030414512,1,2,0,0
2452050357864,1,2,0,0
2452070450152,1,2,0,0
2452090648488,1,2,0,0
2452110425656,1,2,0,0
2452130405872,1,2,0,0
2452150340984,1,2,0,0
2452170605972,1,2,0,0
2452191615512,1,2,0,0
2452210321424,1,2,0,0
2452230328680,1,2,0,0
2452250365596,1,2,0,0
2452270461156,1,2,0,0
2452291717024,1,2,0,0
2452310306708,1,2,0,0
2452330357432,1,2,0,0
2452351366984,1,2,0,0
2452370686384,1,2,0,0
2452390442668,1,2,0,0
2452410379736,1,2,0,0
2452430336260,1,2,0,0
2452450442232,1,2,0,0
2452470523132,1,2,0,0
2452492510616,1,2,0,0
2452511433960,1,2,0,0
2452530427508,1,2,0,0
2452550486612,1,2,0,0
2452571893016,1,2,0,0
2452593782840,1,2,0,0
2452610390344,1,2,0,0
2452630312668,1,2,0,0
2452650391684,1,2,0,0
2452670549580,1,2,0,0
2452690783088,1,2,0,0
2452711394792,1,2,0,0
2452730371752,1,2,0,0
2452750398080,1,2,0,0
2452772111616,1,2,0,0
2452793796284,1,2,0,0
2452810324180,1,2,0,0
2452830392080,1,2,0,0
2452850424404,1,2,0,0
2452870485908,1,2,0,0
2452891477704,1,2,0,0
2452910303844,1,2,0,0
2452930409128,1,2,0,0
2452963199032,1,2,0,0
2452970319688,1,2,0,0
2452994445768,1,2,0,0
2453010402624,1,2,0,0
2453030413672,1,2,0,0
2453050372776,1,2,0,0
2453070560332,1,2,0,0
2453092216816,1,2,0,0
2453110408512,1,2,0,0
2453130348292,1,2,0,0
2453150489500,1,2,0,0
2453172894904,1,2,0,0
2453195143720,1,2,0,0
2453210387768,1,2,0,0
2453230377912,1,2,0,0
2453251426392,1,2,0,0
2453271583324,1,2,0,0
2453293322048,1,2,0,0
2453310331760,1,2,0,0
2453330370516,1,2,0,0
2453350329444,1,2,0,0
2453371148868,1,2,0,0
2453393721344,1,2,0,0
2453410400136,1,2,0,0
2453430344716,1,2,0,0
2453450413956,1,2,0,0
2453470833580,1,2,0,0
2453496244252,1,2,0,0
2453511338296,1,2,0,0
2453530390580,1,2,0,0
2453550395520,1,2,0,0
2453570555076,1,2,0,0
2453599576168,1,2,0,0
2453610334624,1,2,0,0
