available,camera_source,track_id,location_x
1,,0,6.704679
1,,0,6.828202
1,,0,6.875437
1,,0,6.787881
1,,0,6.64283
1,,0,6.637399
1,,0,6.679013
1,,0,6.809292
1,,0,6.814066
1,,0,6.772447
1,,0,6.804255
1,,0,6.777159
1,,0,6.764444
1,,0,6.791656
1,,0,6.790706
1,,0,6.753838
1,,0,6.457675
1,,0,6.660037
1,,0,6.561729
1,,0,6.59361
1,,0,6.576987
1,,0,6.575854
1,,0,6.595068
1,,0,6.574095
1,,0,6.548392
1,,0,6.569007
1,,0,7.139027
1,,0,6.551634
1,,0,7.101134
1,,0,6.358595
1,,0,6.416064
1,,0,6.433373
1,,0,6.397513
1,,0,6.357398
1,,0,6.411253
1,,0,6.937528
1,,0,6.968446
1,,0,7.016363
1,,0,6.514425
1,,0,6.417028
1,,0,6.262975
1,,0,6.310095
1,,0,6.242711
1,,0,6.905262
1,,0,6.885409
1,,0,6.271777
1,,0,6.255752
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
