Msg time,Rcv time,Pos X,Pos Y,Pos Z,Ori X,Ori Y,Ori Z
54.206,54.229,12.0087,81.7853,1.43723,0.00964828,-0.0202165,-1.24355
54.306,54.331,12.0213,81.7082,1.43989,0.0093479,-0.0203779,-1.23365
54.406,54.426,12.0588,81.6052,1.44628,0.00891223,-0.0208261,-1.23169
54.506,54.523,12.079,81.4959,1.46293,0.00807254,-0.0151042,-1.23142
54.606,54.625,12.115,81.3937,1.48552,0.00794064,-0.0163671,-1.23147
54.706,54.728,12.1322,81.3015,1.4554,0.0036621,-0.0144381,-1.23206
54.806,54.826,12.1787,81.2086,1.44179,0.00268871,-0.0174498,-1.23187
54.906,54.932,12.2026,81.0914,1.50312,0.00298994,-0.0165024,-1.23227
55.006,55.033,12.2281,80.9776,1.49691,0.00337598,-0.017645,-1.23289
55.106,55.122,12.2743,80.8792,1.47747,0.00335783,-0.0183335,-1.2323
55.206,55.225,12.2947,80.7855,1.4706,0.00426135,-0.0195948,-1.22613
55.306,55.338,12.3392,80.6401,1.47897,0.00746646,-0.0226751,-1.21384
55.406,55.431,12.3788,80.5191,1.49248,0.0078032,-0.0237513,-1.20794
55.506,55.532,12.4095,80.4075,1.48321,0.00515909,-0.0213604,-1.20621
55.606,55.635,12.4404,80.3174,1.50413,0.00473841,-0.0216762,-1.20556
55.706,55.728,12.4816,80.221,1.53975,0.00464058,-0.0200008,-1.206
55.806,55.828,12.5143,80.1259,1.55452,0.00608589,-0.0214249,-1.20614
55.906,55.926,12.5476,80.0135,1.54717,0.00565233,-0.0209706,-1.20643
56.006,56.032,12.5685,79.9382,1.54386,0.00616117,-0.0217716,-1.20637
56.106,56.139,12.6234,79.8109,1.53639,0.00893079,-0.0218768,-1.20647
56.206,56.226,12.6547,79.7006,1.52489,0.00982643,-0.0226217,-1.20655
56.306,56.323,12.7008,79.6103,1.53013,0.0111786,-0.0259591,-1.20684
56.406,56.425,12.7324,79.5244,1.52272,0.0111079,-0.0266181,-1.20685
56.506,56.524,12.7492,79.446,1.53278,0.0117718,-0.0280157,-1.2056
56.606,56.626,12.7688,79.3686,1.53112,0.0111708,-0.0283573,-1.2057
56.706,56.724,12.7915,79.2978,1.51686,0.0105789,-0.0273952,-1.20609
56.806,56.83,12.818,79.2555,1.52288,0.00978456,-0.0291779,-1.20677
56.906,56.925,12.826,79.204,1.53862,0.0088208,-0.0287204,-1.20681
57.006,57.023,12.8423,79.1417,1.55114,0.00800776,-0.0288993,-1.20632
57.106,57.123,12.866,79.0665,1.56068,0.00693469,-0.030213,-1.20578
57.206,57.23,12.8793,79.0249,1.57566,0.00558803,-0.0293232,-1.20659
57.306,57.327,12.9219,78.961,1.56954,0.00486095,-0.0316085,-1.20695
57.406,57.44,12.9614,78.8669,1.55799,0.00365185,-0.0347923,-1.2078
57.506,57.538,12.9746,78.822,1.53523,6.91E-05,-0.0324086,-1.20834
57.606,57.626,12.9956,78.7414,1.53953,3.14156,-3.10602,1.93365
57.706,57.723,13.0188,78.6576,1.56179,3.1408,-3.10902,1.93339
57.806,57.826,13.0478,78.546,1.54542,3.14098,-3.10977,1.93306
57.906,57.925,13.0888,78.4303,1.54498,3.14136,-3.11028,1.93302
58.006,58.035,13.1268,78.3622,1.48012,3.14072,-3.11068,1.93229
58.106,58.131,13.1682,78.2886,1.4669,0.000853388,-0.0359232,-1.20915
58.206,58.236,13.1715,78.1821,1.53193,0.00114805,-0.0309984,-1.20805
58.306,58.331,13.2128,78.0954,1.53736,0.00305405,-0.0366223,-1.20737
58.406,58.426,13.2462,78.0057,1.51925,0.000935512,-0.0330669,-1.20721
58.506,58.522,13.2862,77.9288,1.4872,0.0013303,-0.0366974,-1.20686
58.606,58.628,13.3067,77.8434,1.47406,3.14146,-3.10748,1.93498
